MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
Dunkirk, Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy,Action, Drama, History,188.37,PG-13 ,"6,85,707"
RRR, N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt,Action, Drama,Nan,14.5,Not Rated ,"1,52,230"
Ghostbusters, Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis,Action, Comedy, Fantasy,238.63,PG ,"4,27,159"
Predator, Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo,Action, Adventure, Horror,59.74,R ,"4,36,217"
Rogue One: A Star Wars Story, Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen,Action, Adventure, Sci-Fi,532.18,PG-13 ,"6,59,988"
Apocalypto, Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood,Action, Adventure, Drama,50.87,R ,"3,20,926"
The Last Samurai, Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton,Action, Drama,Nan,111.11,R ,"4,53,466"
Captain America: Civil War, Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan,Action, Sci-Fi,Nan,408.08,PG-13 ,"8,15,451"
Star Wars: Episode VII - The Force Awakens, Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson,Action, Adventure, Sci-Fi,936.66,PG-13 ,"9,49,499"
Thirteen Lives, Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman,Action, Adventure, Biography,Nan,PG-13 ,"61,462"
Captain America: The Winter Soldier, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford,Action, Adventure, Sci-Fi,259.77,PG-13 ,"8,69,845"
Captain Phillips, Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener,Action, Biography, Crime,107.1,PG-13 ,"4,75,203"
Skyfall, Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench,Action, Adventure, Thriller,304.36,PG-13 ,"7,11,386"
Taken, Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser,Action, Crime, Thriller,145,PG-13 ,"6,16,191"
The Fugitive, Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore,Action, Crime, Drama,183.88,PG-13 ,"3,05,542"
